year,material,region,value
1873,tin,China,2388.113619
1873,tin,EU27,10474.18254
1873,tin,RoW,29034.434
1874,tin,China,2435.875892
1874,tin,EU27,10683.66619
1874,tin,RoW,29615.12268
1875,tin,China,2484.59341
1875,tin,EU27,10897.33952
1875,tin,RoW,30207.42514
1876,tin,China,2534.285278
1876,tin,EU27,11115.28631
1876,tin,RoW,30811.57364
1877,tin,China,2584.970983
1877,tin,EU27,11337.59203
1877,tin,RoW,31427.80511
1878,tin,China,2636.670403
1878,tin,EU27,11564.34387
1878,tin,RoW,32056.36122
1879,tin,China,2689.403811
1879,tin,EU27,11795.63075
1879,tin,RoW,32697.48844
1880,tin,China,2743.191887
1880,tin,EU27,12031.54337
1880,tin,RoW,33351.43821
1881,tin,China,2798.055725
1881,tin,EU27,12272.17423
1881,tin,RoW,34018.46697
1882,tin,China,2854.016839
1882,tin,EU27,12517.61772
1882,tin,RoW,34698.83631
1883,tin,China,2911.097176
1883,tin,EU27,12767.97007
1883,tin,RoW,35392.81304
1884,tin,China,2969.31912
1884,tin,EU27,13023.32947
1884,tin,RoW,36100.6693
1885,tin,China,3028.705502
1885,tin,EU27,13283.79606
1885,tin,RoW,36822.68268
1886,tin,China,3089.279612
1886,tin,EU27,13549.47198
1886,tin,RoW,37559.13634
1887,tin,China,3151.065204
1887,tin,EU27,13820.46142
1887,tin,RoW,38310.31907
1888,tin,China,3214.086509
1888,tin,EU27,14096.87065
1888,tin,RoW,39076.52545
1889,tin,China,3278.368239
1889,tin,EU27,14378.80806
1889,tin,RoW,39858.05596
1890,tin,China,3343.935604
1890,tin,EU27,14666.38423
1890,tin,RoW,40655.21707
1891,tin,China,3410.814316
1891,tin,EU27,14959.71191
1891,tin,RoW,41468.32142
1892,tin,China,3479.030602
1892,tin,EU27,15258.90615
1892,tin,RoW,42297.68784
1893,tin,China,3548.611214
1893,tin,EU27,15564.08427
1893,tin,RoW,43143.6416
1894,tin,China,3619.583438
1894,tin,EU27,15875.36596
1894,tin,RoW,44006.51443
1895,tin,China,3691.975107
1895,tin,EU27,16192.87328
1895,tin,RoW,44886.64472
1896,tin,China,3765.814609
1896,tin,EU27,16516.73074
1896,tin,RoW,45784.37762
1897,tin,China,3841.130901
1897,tin,EU27,16847.06536
1897,tin,RoW,46700.06517
1898,tin,China,3917.953519
1898,tin,EU27,17184.00666
1898,tin,RoW,47634.06647
1899,tin,China,3996.31259
1899,tin,EU27,17527.6868
1899,tin,RoW,48586.7478
1900,tin,China,4076.238842
1900,tin,EU27,17878.24053
1900,tin,RoW,49558.48276
1901,tin,China,4157.763618
1901,tin,EU27,18235.80534
1901,tin,RoW,50549.65241
1902,tin,China,4240.918891
1902,tin,EU27,18600.52145
1902,tin,RoW,51560.64546
1903,tin,China,4325.737269
1903,tin,EU27,18972.53188
1903,tin,RoW,52591.85837
1904,tin,China,4412.252014
1904,tin,EU27,19351.98252
1904,tin,RoW,53643.69554
1905,tin,China,4500.497054
1905,tin,EU27,19739.02217
1905,tin,RoW,54716.56945
1906,tin,China,4590.506995
1906,tin,EU27,20133.80261
1906,tin,RoW,55810.90084
1907,tin,China,4682.317135
1907,tin,EU27,20536.47866
1907,tin,RoW,56927.11885
1908,tin,China,4775.963478
1908,tin,EU27,20947.20824
1908,tin,RoW,58065.66123
1909,tin,China,4871.482747
1909,tin,EU27,21366.1524
1909,tin,RoW,59226.97446
1910,tin,China,4968.912402
1910,tin,EU27,21793.47545
1910,tin,RoW,60411.51394
1911,tin,China,5068.29065
1911,tin,EU27,22229.34496
